Symbol,BetaEndDate,Instance,Beta,UpsideBeta,DownsideBeta
ORLY-US,12/31/2021,ORLY-US_12/31/2021,0.689932222,0.775905841,0.745077994
LHX-US,12/31/2021,LHX-US_12/31/2021,0.632129349,0.676964145,0.672087157
MCHP-US,12/31/2021,MCHP-US_12/31/2021,2.00128978,2.013880264,1.985597034
DOW-US,12/31/2021,DOW-US_12/31/2021,1.132359826,0.990643345,1.285219865
CNC-US,12/31/2021,CNC-US_12/31/2021,0.499238621,0.673167556,0.319106218
DDOG-US,12/31/2021,DDOG-US_12/31/2021,1.65119642,1.680778281,1.51147146
MSI-US,12/31/2021,MSI-US_12/31/2021,0.941490454,1.030751677,0.835992118
HPQ-US,12/31/2021,HPQ-US_12/31/2021,1.141165742,1.435032102,0.72081761
KKR-US,12/31/2021,KKR-US_12/31/2021,1.213111898,1.338423632,1.233454764
AEP-US,12/31/2021,AEP-US_12/31/2021,0.340108669,0.340754102,0.42001453
SLB-US,12/31/2021,SLB-US_12/31/2021,1.276700972,1.251597672,1.091795114
CTSH-US,12/31/2021,CTSH-US_12/31/2021,1.001466492,0.947682614,1.060681387
PRU-US,12/31/2021,PRU-US_12/31/2021,1.065316779,1.052523456,1.105993369
SIVB-US,12/31/2021,SIVB-US_12/31/2021,1.703379344,1.801971039,1.833638735
DD-US,12/31/2021,DD-US_12/31/2021,1.072192861,1.065647778,1.00199462
MAR-US,12/31/2021,MAR-US_12/31/2021,1.299062946,1.20489478,1.425858389
PH-US,12/31/2021,PH-US_12/31/2021,1.227095398,1.153844593,1.222177971
VEEV-US,12/31/2021,VEEV-US_12/31/2021,1.296864474,1.212673635,1.351890958
PAYX-US,12/31/2021,PAYX-US_12/31/2021,0.920574616,1.1083304,0.724649555
ROK-US,12/31/2021,ROK-US_12/31/2021,0.95915867,1.078255184,0.773295773
PXD-US,12/31/2021,PXD-US_12/31/2021,0.972433998,0.904799092,1.008715881
MPC-US,12/31/2021,MPC-US_12/31/2021,1.209375118,1.19471556,1.233388847
AZO-US,12/31/2021,AZO-US_12/31/2021,0.770830567,1.017000968,0.717418763
SRE-US,12/31/2021,SRE-US_12/31/2021,0.682275491,0.527694685,0.931649079
ROST-US,12/31/2021,ROST-US_12/31/2021,1.321487325,1.122115926,1.457735182
BAX-US,12/31/2021,BAX-US_12/31/2021,0.346680933,0.363853964,0.367302044
TRV-US,12/31/2021,TRV-US_12/31/2021,0.866135518,0.713079193,0.988476669
GIS-US,12/31/2021,GIS-US_12/31/2021,0.168997193,0.141687334,0.170724749
SBAC-US,12/31/2021,SBAC-US_12/31/2021,0.516410156,0.691866042,0.444365667
FRC-US,12/31/2021,FRC-US_12/31/2021,1.121527483,1.134932725,1.183559872
CTAS-US,12/31/2021,CTAS-US_12/31/2021,1.26542703,1.463830706,1.114995374
HLT-US,12/31/2021,HLT-US_12/31/2021,1.252461048,1.253441214,1.317783073
MTCH-US,12/31/2021,MTCH-US_12/31/2021,1.419582434,1.428850748,1.626439776
ETSY-US,12/31/2021,ETSY-US_12/31/2021,1.592018028,1.221275519,1.951637761
YUM-US,12/31/2021,YUM-US_12/31/2021,0.679023908,0.66930404,0.771493269
AFL-US,12/31/2021,AFL-US_12/31/2021,0.924929494,0.866462838,0.995142677
TWTR-US,12/31/2021,TWTR-US_12/31/2021,1.437896335,1.287655548,1.602273387
PPG-US,12/31/2021,PPG-US_12/31/2021,0.833516279,0.921954589,0.711806157
STZ-US,12/31/2021,STZ-US_12/31/2021,0.785141564,0.854622939,0.819118854
GPN-US,12/31/2021,GPN-US_12/31/2021,1.209458415,1.231760304,1.193407372
IFF-US,12/31/2021,IFF-US_12/31/2021,0.952249468,1.029716683,0.988867839
RMD-US,12/31/2021,RMD-US_12/31/2021,0.863354855,0.713161095,1.127341862
BIIB-US,12/31/2021,BIIB-US_12/31/2021,0.330968565,0.20235083,0.514533297
VRSK-US,12/31/2021,VRSK-US_12/31/2021,0.752758689,0.82542307,0.745794763
ODFL-US,12/31/2021,ODFL-US_12/31/2021,1.101733831,1.262763161,0.930591939
HUBS-US,12/31/2021,HUBS-US_12/31/2021,1.734792871,1.632608891,1.848628294
ADM-US,12/31/2021,ADM-US_12/31/2021,0.815476667,0.825591855,0.91854872
EA-US,12/31/2021,EA-US_12/31/2021,0.545156127,0.606411292,0.453303716
KEYS-US,12/31/2021,KEYS-US_12/31/2021,1.101182122,1.179602048,1.002785342
OTIS-US,12/31/2021,OTIS-US_12/31/2021,0.722945722,0.854650177,0.647511818
SYY-US,12/31/2021,SYY-US_12/31/2021,0.985469515,0.898579637,1.113542079
XEL-US,12/31/2021,XEL-US_12/31/2021,0.379043966,0.365821545,0.46543847
WELL-US,12/31/2021,WELL-US_12/31/2021,0.93738986,0.83147052,1.151292389
CTVA-US,12/31/2021,CTVA-US_12/31/2021,1.051982163,1.047958553,1.07978407
MCK-US,12/31/2021,MCK-US_12/31/2021,0.789584645,0.848938253,0.770983238
FAST-US,12/31/2021,FAST-US_12/31/2021,0.903149868,0.971066812,0.791210284
DFS-US,12/31/2021,DFS-US_12/31/2021,1.461858252,1.53515731,1.475977427
MTD-US,12/31/2021,MTD-US_12/31/2021,1.017437693,1.183539771,0.85411051
WMB-US,12/31/2021,WMB-US_12/31/2021,0.683134774,0.675579032,0.654775047
STT-US,12/31/2021,STT-US_12/31/2021,1.206760514,1.33420574,1.188184913
PLTR-US,12/31/2021,PLTR-US_12/31/2021,1.029142717,0.899231672,1.18058627
ALL-US,12/31/2021,ALL-US_12/31/2021,0.630786676,0.734099569,0.489460645
SPOT-US,12/31/2021,SPOT-US_12/31/2021,1.499044524,1.354087127,1.571045917
EFX-US,12/31/2021,EFX-US_12/31/2021,0.957076191,1.171814137,0.888400043
AVB-US,12/31/2021,AVB-US_12/31/2021,0.66618345,0.689838628,0.641521313
AJG-US,12/31/2021,AJG-US_12/31/2021,0.825051452,0.837658777,0.855942526
NUE-US,12/31/2021,NUE-US_12/31/2021,1.082282225,0.980766397,1.155837099
ANSS-US,12/31/2021,ANSS-US_12/31/2021,1.659255937,1.651208043,1.751119571
AMP-US,12/31/2021,AMP-US_12/31/2021,1.4338861,1.415745395,1.550742502
DHI-US,12/31/2021,DHI-US_12/31/2021,1.417894193,1.321661354,1.450177125
WBA-US,12/31/2021,WBA-US_12/31/2021,0.615873769,0.716081217,0.513453386
EPAM-US,12/31/2021,EPAM-US_12/31/2021,1.391508732,1.525274413,1.239982882
ENPH-US,12/31/2021,ENPH-US_12/31/2021,1.913859387,1.57052593,2.189787698
CBRE-US,12/31/2021,CBRE-US_12/31/2021,1.186045592,1.317473136,1.050703355
DLTR-US,12/31/2021,DLTR-US_12/31/2021,0.806535166,0.519742566,1.098990623
KR-US,12/31/2021,KR-US_12/31/2021,0.118072442,0.213602693,0.090916432
WST-US,12/31/2021,WST-US_12/31/2021,0.764028308,0.856127184,0.670958253
MDB-US,12/31/2021,MDB-US_12/31/2021,1.749760398,1.990078442,1.644568559
MNST-US,12/31/2021,MNST-US_12/31/2021,0.904153063,0.853354992,0.987200693
AME-US,12/31/2021,AME-US_12/31/2021,0.988728817,1.007472529,0.991571599
PEG-US,12/31/2021,PEG-US_12/31/2021,0.56733677,0.497669122,0.698194103
KMI-US,12/31/2021,KMI-US_12/31/2021,0.794772413,0.773984851,0.892012837
ARE-US,12/31/2021,ARE-US_12/31/2021,0.593354856,0.67152702,0.561443577
CMI-US,12/31/2021,CMI-US_12/31/2021,0.919822471,0.802985983,1.008788693
ZBRA-US,12/31/2021,ZBRA-US_12/31/2021,1.277072945,1.27435573,1.242563994
EQR-US,12/31/2021,EQR-US_12/31/2021,0.725108672,0.724671487,0.713313909
ALB-US,12/31/2021,ALB-US_12/31/2021,1.548600842,1.287537168,1.620372645
AWK-US,12/31/2021,AWK-US_12/31/2021,0.521691768,0.515044843,0.618817439
CSGP-US,12/31/2021,CSGP-US_12/31/2021,1.001851749,0.943883953,1.043596122
PSX-US,12/31/2021,PSX-US_12/31/2021,1.059930414,1.079314958,1.06720777
CPRT-US,12/31/2021,CPRT-US_12/31/2021,1.272961768,1.299947769,1.19134996
BLL-US,12/31/2021,BLL-US_12/31/2021,0.507600586,0.461158801,0.600278224
ANET-US,12/31/2021,ANET-US_12/31/2021,1.235948413,1.457238596,0.966310342
WLTW-US,12/31/2021,WLTW-US_12/31/2021,0.838174277,0.963167361,0.834880732
SWK-US,12/31/2021,SWK-US_12/31/2021,1.097874013,1.015926299,1.130944919
PCAR-US,12/31/2021,PCAR-US_12/31/2021,0.911586632,0.723848327,0.987676478
FITB-US,12/31/2021,FITB-US_12/31/2021,1.245385015,1.343789114,1.214905951
LEN-US,12/31/2021,LEN-US_12/31/2021,1.332815789,1.160858133,1.348475749
TDG-US,12/31/2021,TDG-US_12/31/2021,1.292643443,1.190798553,1.4994696
ES-US,12/31/2021,ES-US_12/31/2021,0.387079946,0.367735848,0.456321938
GLW-US,12/31/2021,GLW-US_12/31/2021,1.22358556,1.200148146,1.233282801
DVN-US,12/31/2021,DVN-US_12/31/2021,1.570111911,1.928499061,1.295414484
WY-US,12/31/2021,WY-US_12/31/2021,1.219821416,1.147112387,1.339911982
BBY-US,12/31/2021,BBY-US_12/31/2021,1.078939735,0.717269915,1.338917692
RSG-US,12/31/2021,RSG-US_12/31/2021,0.651123038,0.687656443,0.599721334
LH-US,12/31/2021,LH-US_12/31/2021,0.486256656,0.570522231,0.356473478
